,index,i,j,elevation,distance,time,origin_x,origin_y,dest_x,dest_y
3308,100186,14,19,4,6075.5,636.2,-46.691300000000005,-23.616400000000002,-46.691300000000005,-23.661399999999997
3309,100200,15,16,4,1666.7,194.7,-46.691300000000005,-23.661399999999997,-46.691300000000005,-23.6764
3310,100202,12,16,4,1666.7,194.7,-46.691300000000005,-23.661399999999997,-46.691300000000005,-23.6764
3311,100216,12,16,4,4837.0,473.6,-46.691300000000005,-23.6764,-46.706300000000006,-23.646399999999996
3312,100240,11,16,4,4315.8,387.9,-46.706300000000006,-23.646399999999996,-46.691300000000005,-23.661399999999997
3313,100241,13,15,4,7466.5,748.7,-46.691300000000005,-23.661399999999997,-46.691300000000005,-23.616400000000002
3314,100244,12,16,4,7508.8,793.1,-46.691300000000005,-23.616400000000002,-46.691300000000005,-23.661399999999997
3315,100247,15,16,4,7466.5,748.7,-46.691300000000005,-23.661399999999997,-46.691300000000005,-23.616400000000002
3316,100248,12,16,4,7508.8,793.1,-46.691300000000005,-23.616400000000002,-46.691300000000005,-23.661399999999997
3317,100300,15,16,4,4405.8,555.6,-46.691300000000005,-23.6314,-46.691300000000005,-23.661399999999997
3318,100302,14,16,4,4405.8,555.6,-46.691300000000005,-23.6314,-46.691300000000005,-23.661399999999997
3319,100304,14,16,4,4405.8,555.6,-46.691300000000005,-23.6314,-46.691300000000005,-23.661399999999997
3320,100306,14,16,4,4405.8,555.6,-46.691300000000005,-23.6314,-46.691300000000005,-23.661399999999997
3321,100315,14,16,4,1164.0,111.8,-46.691300000000005,-23.661399999999997,-46.691300000000005,-23.6764
3322,100377,12,16,4,1995.3,282.7,-46.691300000000005,-23.6764,-46.706300000000006,-23.6764
3323,100379,11,16,4,1995.3,282.7,-46.691300000000005,-23.6764,-46.706300000000006,-23.6764
3324,100383,11,15,4,1332.1,199.3,-46.691300000000005,-23.6764,-46.691300000000005,-23.691400000000005
3325,100388,11,15,4,1172.0,209.1,-46.691300000000005,-23.6764,-46.691300000000005,-23.6764
3326,100398,11,16,4,3912.6,380.3,-46.691300000000005,-23.661399999999997,-46.706300000000006,-23.6314
3327,100399,12,16,4,3804.1,478.6,-46.706300000000006,-23.6314,-46.691300000000005,-23.661399999999997
3328,100400,14,15,4,3011.1,282.9,-46.691300000000005,-23.661399999999997,-46.7213,-23.6614
3329,100401,12,16,2,4559.4,475.8,-46.7213,-23.6614,-46.691300000000005,-23.661399999999997
3330,100407,12,14,4,4101.3,391.8,-46.706300000000006,-23.646399999999996,-46.691300000000005,-23.661399999999997
