,index,i,j,elevation,distance,time,origin_x,origin_y,dest_x,dest_y
1465,75509,23,36,4,2963.7,373.0,-46.37630000000001,-23.4814,-46.37630000000001,-23.496400000000005
1466,75566,24,36,4,2899.1,232.2,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
1467,75589,24,37,4,2741.6,351.7,-46.37630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
1468,75590,23,37,4,2587.1,325.9,-46.39130000000001,-23.496400000000005,-46.37630000000001,-23.496400000000005
1469,75647,23,36,4,6227.5,562.7,-46.436299999999996,-23.496400000000005,-46.39130000000001,-23.496400000000005
1470,75655,23,36,4,3772.3,319.0,-46.37630000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
1471,75656,23,37,4,4779.5,382.7,-46.40630000000001,-23.496400000000005,-46.37630000000001,-23.496400000000005
1472,75746,23,36,2,3722.4,368.3,-46.5413,-23.5414,-46.571299999999994,-23.5414
1473,75824,23,35,4,4675.9,515.8,-46.5413,-23.5414,-46.571299999999994,-23.526399999999995
1474,75847,20,37,4,3653.3,404.7,-46.5563,-23.556399999999996,-46.571299999999994,-23.5414
1475,75876,20,24,4,3746.2,397.6,-46.571299999999994,-23.5414,-46.5563,-23.541399999999996
1476,75957,19,24,4,6604.5,748.7,-46.601299999999995,-23.5414,-46.646300000000004,-23.5414
1477,76158,20,24,4,4689.6,399.7,-46.511300000000006,-23.571399999999997,-46.5263,-23.5414
1478,76161,20,25,4,2290.4,254.0,-46.5263,-23.5414,-46.511300000000006,-23.5564
1479,76206,18,19,4,6864.2,762.7,-46.5563,-23.5264,-46.5263,-23.5564
1480,76258,20,27,4,3586.8,357.2,-46.5263,-23.5564,-46.511300000000006,-23.5564
1481,76259,21,28,4,3833.7,434.9,-46.511300000000006,-23.5564,-46.5263,-23.5564
1482,76298,19,27,4,5380.8,624.6,-46.5413,-23.5564,-46.5263,-23.571399999999997
1483,76609,19,28,4,4840.0,542.2,-46.5563,-23.541399999999996,-46.571299999999994,-23.5564
1484,76758,19,27,4,6051.0,570.4,-46.5563,-23.5714,-46.601299999999995,-23.5564
1485,76877,20,27,4,4104.0,441.4,-46.571299999999994,-23.5414,-46.5563,-23.5714
1486,77169,18,24,4,4861.9,560.8,-46.511300000000006,-23.571399999999997,-46.5413,-23.5414
1487,77192,20,22,4,3856.0,525.1,-46.511300000000006,-23.571399999999997,-46.5263,-23.5414
1488,77196,18,25,4,2127.7,264.0,-46.646300000000004,-23.5414,-46.6313,-23.5414
1489,77230,18,26,4,2134.0,222.4,-46.511300000000006,-23.571399999999997,-46.5263,-23.571399999999997
1490,77241,20,27,2,7643.9,653.2,-46.571299999999994,-23.526399999999995,-46.5263,-23.5564
1491,77418,18,20,4,5863.3,574.7,-46.511300000000006,-23.571399999999997,-46.5563,-23.556399999999996
1492,77419,21,27,4,6252.6,607.2,-46.5563,-23.556399999999996,-46.511300000000006,-23.571399999999997
1493,77497,18,27,2,4176.4,490.6,-46.5263,-23.5414,-46.5563,-23.541399999999996
1494,77498,19,25,4,4764.2,577.6,-46.5563,-23.541399999999996,-46.5263,-23.5414
1495,77639,20,28,4,2198.4,201.1,-46.5563,-23.541399999999996,-46.5413,-23.5414
1496,77681,20,25,4,4671.6,511.7,-46.5413,-23.5414,-46.571299999999994,-23.5564
1497,77704,20,27,4,4705.7,432.4,-46.5413,-23.5414,-46.496300000000005,-23.526399999999995
1498,77828,20,26,4,3187.6,498.5,-46.511300000000006,-23.5564,-46.511300000000006,-23.526399999999995
1499,78558,20,24,4,5014.7,571.6,-46.481300000000005,-23.526399999999995,-46.481300000000005,-23.5414
1500,78917,19,29,4,1866.5,150.8,-46.481300000000005,-23.5564,-46.481300000000005,-23.5564
1501,78994,21,28,4,2525.6,339.4,-46.511300000000006,-23.571399999999997,-46.496300000000005,-23.5564
1502,79075,19,30,2,2020.6,226.7,-46.511300000000006,-23.571399999999997,-46.511300000000006,-23.5564
1503,79242,18,30,4,2193.0,268.4,-46.481300000000005,-23.5564,-46.481300000000005,-23.5414
1504,79861,18,29,4,1942.0,187.4,-46.496300000000005,-23.571399999999997,-46.511300000000006,-23.571399999999997
1505,80121,19,28,4,2163.6,241.8,-46.466300000000004,-23.571399999999997,-46.466300000000004,-23.5564
1506,80122,18,30,4,2326.5,312.8,-46.466300000000004,-23.5564,-46.466300000000004,-23.571399999999997
1507,81071,18,28,4,5555.6,514.5,-46.586299999999994,-23.571399999999997,-46.586299999999994,-23.5414
1508,81247,19,31,4,7628.6,834.4,-46.4363,-23.5414,-46.496300000000005,-23.5414
1509,81250,18,31,4,1605.9,266.9,-46.4513,-23.5414,-46.4363,-23.5414
